,date,rates
ALL,2022-06-07,119.811647
AMD,2022-06-07,464.129813
ANG,2022-06-07,1.928086
AOA,2022-06-07,461.741073
ARS,2022-06-07,129.744584
AUD,2022-06-07,1.481558
AWG,2022-06-07,1.9260739999999998
AZN,2022-06-07,1.814222
BAM,2022-06-07,1.960401
BBD,2022-06-07,2.160197
BDT,2022-06-07,98.937998
BGN,2022-06-07,1.955864
BHD,2022-06-07,0.403285
BIF,2022-06-07,2172.650268
BMD,2022-06-07,1.069744
BND,2022-06-07,1.472402
BOB,2022-06-07,7.366081
BRL,2022-06-07,5.211007
BSD,2022-06-07,1.069824
BTC,2022-06-07,3.4354241e-05
BTN,2022-06-07,83.236857
BWP,2022-06-07,12.782181
BYN,2022-06-07,3.61132
BYR,2022-06-07,20966.984371
BZD,2022-06-07,2.156428
CAD,2022-06-07,1.341165
CDF,2022-06-07,2144.83703
CHF,2022-06-07,1.041465
CLF,2022-06-07,0.031984
CLP,2022-06-07,882.538298
CNY,2022-06-07,7.135939
COP,2022-06-07,4054.148285
CRC,2022-06-07,732.1776
CUC,2022-06-07,1.069744
CUP,2022-06-07,28.348219
CVE,2022-06-07,110.614348
CZK,2022-06-07,24.751843
DJF,2022-06-07,190.115276
DKK,2022-06-07,7.439375
DOP,2022-06-07,59.04521
DZD,2022-06-07,156.030712
EGP,2022-06-07,19.991057
ERN,2022-06-07,16.046163
ETB,2022-06-07,55.263206
EUR,2022-06-07,1.0
FJD,2022-06-07,2.3135339999999998
FKP,2022-06-07,0.875405
GBP,2022-06-07,0.8499009999999999
GEL,2022-06-07,3.155542
GGP,2022-06-07,0.875405
GHS,2022-06-07,8.398015000000001
GIP,2022-06-07,0.875405
GMD,2022-06-07,57.81914
GNF,2022-06-07,9443.701127
GTQ,2022-06-07,8.243119
GYD,2022-06-07,223.868225
HKD,2022-06-07,8.392752
HNL,2022-06-07,26.283693
HRK,2022-06-07,7.531105
HTG,2022-06-07,120.89129199999999
HUF,2022-06-07,388.525688
IDR,2022-06-07,15474.276312
ILS,2022-06-07,3.577454
IMP,2022-06-07,0.875405
INR,2022-06-07,83.087933
IQD,2022-06-07,1561.291515
IRR,2022-06-07,45303.662726
ISK,2022-06-07,138.916743
JEP,2022-06-07,0.875405
JMD,2022-06-07,164.4417
JOD,2022-06-07,0.75841
JPY,2022-06-07,142.116039
KES,2022-06-07,125.160046
KGS,2022-06-07,85.068541
KHR,2022-06-07,4343.161373
KMF,2022-06-07,492.242578
KPW,2022-06-07,962.769928
KRW,2022-06-07,1342.427182
KWD,2022-06-07,0.327561
KYD,2022-06-07,0.8914909999999999
KZT,2022-06-07,461.586185
LAK,2022-06-07,15324.084325
LBP,2022-06-07,1622.80174
LKR,2022-06-07,384.625329
LRD,2022-06-07,162.601368
LSL,2022-06-07,16.463162
LTL,2022-06-07,3.158677
LVL,2022-06-07,0.6470779999999999
LYD,2022-06-07,5.091872
MAD,2022-06-07,10.517193
MDL,2022-06-07,20.337617
MGA,2022-06-07,4276.297811
MKD,2022-06-07,61.583318
MMK,2022-06-07,1980.900342
MNT,2022-06-07,3290.287666
MOP,2022-06-07,8.646903
MRO,2022-06-07,381.89846
MUR,2022-06-07,46.956573
MVR,2022-06-07,16.517167
MWK,2022-06-07,1085.254345
MXN,2022-06-07,20.958108
MYR,2022-06-07,4.702063
MZN,2022-06-07,68.281392
NAD,2022-06-07,16.463261
NGN,2022-06-07,444.082486
NIO,2022-06-07,38.318553
NOK,2022-06-07,10.126112
NPR,2022-06-07,133.17873
NZD,2022-06-07,1.6508500000000002
OMR,2022-06-07,0.411842
PAB,2022-06-07,1.069824
PEN,2022-06-07,4.016352
PGK,2022-06-07,3.770886
PHP,2022-06-07,56.525389
PKR,2022-06-07,216.86384
PLN,2022-06-07,4.57567
PYG,2022-06-07,7318.22819
